,date,clientName,clientType,productId,productName,productCategory,productPrice,saleAmount,saleDiscount
0,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
1,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
2,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
3,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
4,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
5,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
6,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
7,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
8,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
9,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
10,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
11,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
12,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
13,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
14,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
15,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
16,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
17,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
18,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
19,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
20,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
21,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
22,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
23,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
24,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
25,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
26,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
27,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
28,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
29,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
30,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
31,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
32,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
33,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
34,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
35,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
36,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
37,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
38,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
39,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
40,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
41,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
42,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
43,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
44,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
45,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
46,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
47,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
48,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
49,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
50,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
51,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
52,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
53,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
54,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
55,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
56,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
57,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
58,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
59,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
